Problem Name,Importance,Immediacy,Complexity,Cost
Proliferation of Genetically Modified Food,1.0,0.4444444444444444,0.33333333333333337,0.0
The magnitude of US debt,0.2857142857142857,0.5,0.5,0.2
The War on Drugs,0.8,0.5,0.25,1.0
Drinking and Driving,0.5454545454545454,0.5625,0.6153846153846154,0.3157894736842105
The lack of moral conviction in American Society,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.8571428571428572
The Middle Eastern Conflict,0.5,0.5555555555555556,0.25,0.6923076923076923
The increase of Greenhouse gases,0.8571428571428572,0.4,0.5714285714285714,0.4
Proliferation of Nuclear Weapons,0.5,0.4,0.75,0.6
People are stupid,0.0,1.0,0.75,0.33333333333333337
qwertqwertqwertqwertqwertqwertqwertqwertqwertqwert,0.75,0.0,0.5,0.5
"sdfgjkydjrkguhkjtdfkghuyjdtykglhuofcykghkjllguklhjkfk;;k;11111111111111111111111111111111111111111
111111111111111111111111111999999999999999999999999999999999998888888888888888888888
88888888888887777777777777777777777777777777777777777",0.5,0.33333333333333337,1.0,1.0
